Sample	posterior	likelihood	prior	treeLikelihood.sequences_anotated_aligned	treeHeight.t:sequences_anotated_aligned	treeLength.t:sequences_anotated_aligned	Tree.t:sequences_anotated_aligned.count_adult_to_old	Tree.t:sequences_anotated_aligned.count_adult_to_young	Tree.t:sequences_anotated_aligned.count_old_to_adult	Tree.t:sequences_anotated_aligned.count_old_to_young	Tree.t:sequences_anotated_aligned.count_young_to_adult	Tree.t:sequences_anotated_aligned.count_young_to_old	Tree.t:sequences_anotated_aligned.count_adult	Tree.t:sequences_anotated_aligned.count_old	Tree.t:sequences_anotated_aligned.count_young	rootTypeLogger.t:sequences_anotated_aligned	R0.t:sequences_anotated_aligned.1	R0.t:sequences_anotated_aligned.2	R0.t:sequences_anotated_aligned.3	samplingProportion.t:sequences_anotated_aligned.1	samplingProportion.t:sequences_anotated_aligned.2	samplingProportion.t:sequences_anotated_aligned.3	samplingProportion.t:sequences_anotated_aligned.4	samplingProportion.t:sequences_anotated_aligned.5	samplingProportion.t:sequences_anotated_aligned.6	becomeUninfectiousRate.t:sequences_anotated_aligned.1	becomeUninfectiousRate.t:sequences_anotated_aligned.2	becomeUninfectiousRate.t:sequences_anotated_aligned.3	rateMatrix.t:sequences_anotated_aligned.1	rateMatrix.t:sequences_anotated_aligned.2	rateMatrix.t:sequences_anotated_aligned.3	rateMatrix.t:sequences_anotated_aligned.4	rateMatrix.t:sequences_anotated_aligned.5	rateMatrix.t:sequences_anotated_aligned.6	geo-frequencies.t:sequences_anotated_aligned.1	geo-frequencies.t:sequences_anotated_aligned.2	geo-frequencies.t:sequences_anotated_aligned.3	clockRate.c:sequences_anotated_aligned	kappa.s:sequences_anotated_aligned	proportionInvariant.s:sequences_anotated_aligned	gammaShape.s:sequences_anotated_aligned	freqParameter.s:sequences_anotated_aligned.1	freqParameter.s:sequences_anotated_aligned.2	freqParameter.s:sequences_anotated_aligned.3	freqParameter.s:sequences_anotated_aligned.4
20000000	-47826.50434970275	-48866.98040275518	1040.47605305243	-48866.98040275518	0.7136159401446438	25.97755330255606	80	0	2	0	27	17	51	141	8	1	0.8583660667062049	1.0138168051078678	0.33988335175904183	0.0	0.019519060215386227	0.0	1.1306138577729578E-4	0.0	0.29024479690325106	453.36454547568576	453.36454547568576	453.36454547568576	3.6893057375798493	3.159888340162841	0.8503659823628245	0.03516382902521587	5.172477780012902	0.8006765267377389	0.34	0.33	0.33	0.0010114938691813862	5.691044504690131	0.7771992099083086	1.3883724696410047	0.2937053130768416	0.180906343115955	0.19288194489871777	0.3325063989084842
21000000	-47794.63415535691	-48879.08315541229	1084.4490000553856	-48879.08315541229	0.661820702419398	24.058405138648865	88	0	0	0	32	13	46	147	7	1	0.9026515927248371	1.0148727789453977	0.4615508206782375	0.0	0.010221483946336126	0.0	4.474345959190526E-5	0.0	0.1168902056363338	573.0998909860547	573.0998909860547	573.0998909860547	1.904768241171726	9.661721721135889	0.6240886043382485	0.04801888615104889	0.18015446712828131	1.6036661989393672	0.34	0.33	0.33	0.0011403353367740322	5.820314252496554	0.7542750823148796	2.6053126211696007	0.29128665781899293	0.1804581580673764	0.1973140964763256	0.3309410876373038
22000000	-47806.534508239296	-48867.19465354351	1060.6601453042135	-48867.19465354351	0.6680029445108645	23.941974756965976	87	0	1	0	26	15	42	147	11	1	0.8971019983064398	1.0106393329618364	0.38579544158077456	0.0	0.010402637113808334	0.0	6.931370148284694E-5	0.0	0.1940094829400902	520.5951503264671	520.5951503264671	520.5951503264671	2.212948462168446	4.029884533410371	0.9036979031014182	0.03178731402255171	1.7099878431626812	0.12718565935598483	0.34	0.33	0.33	0.0011033587902204304	5.0562598530303635	0.7470786308916287	2.8103559872747326	0.2989953215734247	0.17709045173532242	0.19280631069676596	0.3311079159944855
23000000	-47903.39899165176	-48859.99223481892	956.5932431671642	-48859.99223481892	0.7381866313236718	28.065923996245782	78	0	1	0	17	25	42	148	10	1	0.8126850041502756	1.0144861852708702	0.3970392521157266	0.0	0.052717450094441655	0.0	2.3534089982792184E-4	0.0	0.16925766605064926	292.09292240151035	292.09292240151035	292.09292240151035	0.4060420458893725	7.627348252950675	0.803544542722148	0.12838656114066727	0.3931418605275461	1.5618331924449411	0.34	0.33	0.33	9.545575748824797E-4	5.343228823505713	0.6457783224765435	0.5121939870138122	0.28783129289297343	0.18077429991370667	0.194124268669757	0.3372701385235613
24000000	-47960.509984852906	-48857.941055541756	897.4310706888465	-48857.941055541756	0.9418461472213373	31.21499941222986	77	0	0	0	24	19	49	142	9	1	0.9077231333496049	1.0174360653414514	0.47700720063634294	0.0	0.019762643199366	0.0	9.03540798388002E-5	0.0	0.09636153988126588	336.5521638655747	336.5521638655747	336.5521638655747	1.3644337914514673	6.45919784267202	0.5194724885140882	0.09766534621398179	0.1979995029854937	4.89296320327212E-4	0.34	0.33	0.33	8.223085259587535E-4	5.781805549711158	0.8130496604849352	2.5799464852795753	0.2941776122075676	0.18303491249802242	0.19232551078456098	0.33046196450984733
25000000	-47935.30060040854	-48851.27783392546	915.9772335169208	-48851.27783392546	1.05815705740422	35.0382292423644	83	0	0	0	23	20	42	149	9	1	0.850564434017975	1.014321363096848	0.48472111940174434	0.0	0.0485292902679813	0.0	2.906286157801231E-4	0.0	0.8550183832742303	206.9977779080046	206.9977779080046	206.9977779080046	1.167964897232326	2.5389784184016255	0.5933823937349805	0.03057962383857502	1.181543343545468	2.410789628776892	0.34	0.33	0.33	7.198728133728522E-4	6.085466527774969	0.6891936183911523	0.7523183413981385	0.2947904487503803	0.18188948167263927	0.19261600192739978	0.33070406764957877
26000000	-47878.740434045285	-48851.184554857624	972.4441208123387	-48851.184554857624	0.8713965489085749	35.25990070554841	80	0	0	2	26	17	48	142	10	2	0.880767762602564	1.015452528702238	0.46503387602429075	0.0	0.021352709602611406	0.0	6.411981566857725E-5	0.0	0.29331595388430753	379.4012281615549	379.4012281615549	379.4012281615549	0.07394743101343203	4.8639333160445855	0.35927007372286635	0.016550807633701568	0.3624292997651698	4.106514111758361	0.34	0.33	0.33	7.612590449149794E-4	5.1079536634048734	0.7226930254914545	1.002842089925094	0.29429623760863366	0.1788216575602433	0.19982964039129894	0.32705246443982233
27000000	-47938.340876116476	-48848.320150248765	909.9792741322914	-48848.320150248765	0.9227166691284711	35.73855230711374	87	0	0	0	29	13	44	146	10	1	0.8901607227382993	1.0091819885693547	0.5986883287929012	0.0	0.009736838759117745	0.0	8.88760898341298E-5	0.0	0.07355029771769035	408.1042365152814	408.1042365152814	408.1042365152814	0.32194729027669267	5.743753620410642	1.093346366417903	0.039958700573044154	0.3878434186474273	0.7776417578954773	0.34	0.33	0.33	7.612375489498187E-4	5.207260778284877	0.7733720260953946	0.9488416078839557	0.29219094848981736	0.18093304783739814	0.1954051964594595	0.3314708072133233
28000000	-47916.56999538155	-48862.5548880305	945.9848926489539	-48862.5548880305	0.9624407091040674	34.01804127778513	85	0	0	0	35	9	52	140	8	1	0.9306445430387985	1.0119798881009805	0.5928139213629258	0.0	0.009428999472916179	0.0	6.670363848442051E-5	0.0	0.08969946130047768	414.06289277554276	414.06289277554276	414.06289277554276	0.21768281890703517	6.608996797588105	0.6822695504888118	0.0321085113184932	0.3151845055634671	0.39126536690341995	0.34	0.33	0.33	8.215395102470709E-4	4.833264729564034	0.6586852067019482	0.6467346545141235	0.2941838516582436	0.18218188165925253	0.19260695807426964	0.3310273086082324
29000000	-47922.67256053051	-48854.70240191822	932.0298413877075	-48854.70240191822	0.7993143508178954	31.53976808165847	82	0	1	0	26	16	47	143	10	1	0.9048341402046478	1.0130906650782645	0.6890482627912564	0.0	0.012920315442005623	0.0	7.468540210576563E-5	0.0	0.05949916007257729	378.4883288659337	378.4883288659337	378.4883288659337	0.5696581420895478	6.133029926835683	0.6787499335196802	0.06781904132172216	1.973991960534139	0.1451481112895803	0.34	0.33	0.33	8.411795171500947E-4	6.180050825550962	0.6736350955635898	0.5490525916205166	0.29389211751912664	0.18597962044566352	0.19442231796154608	0.32570594407366205
